,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
AK -- ALEUTIANS WEST (County),0,0,1,0,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,0,4
AK -- ANCHORAGE (County),448,306,352,465,736,1101,1180,1287,1610,6008,339,68,88,109,873,0,5,11,53,111,449,443,603,1717,4036,57,41,22,20,34,113,410,644,63,2228,723,882,922,1383,1537,539,3776,1633,114,3873,1245,0,2193,60,0,7485
AK -- BETHEL (County),2,0,1,1,5,0,1,2,0,6,1,0,0,0,5,0,0,0,0,0,3,1,1,4,3,0,2,1,0,0,1,1,1,0,3,0,1,1,1,3,0,7,2,0,7,3,0,2,0,0,12
AK -- BRISTOL BAY (County),0,2,1,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,1,0,4,0,0,1,0,0,5
AK -- CHUGACH (County),3,1,2,0,1,1,1,1,4,12,0,0,0,0,2,0,0,0,0,0,2,1,1,5,5,0,5,0,0,0,0,0,0,0,7,0,0,1,1,0,1,11,2,0,12,0,0,2,0,0,14
AK -- COPPER RIVER (County),0,1,2,1,2,0,1,3,1,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,9,0,2,0,0,0,0,4,2,0,3,0,0,0,0,0,0,11,0,0,10,0,0,1,0,0,11
AK -- DENALI (County),0,0,1,3,3,0,2,1,4,10,1,0,0,0,3,0,0,0,0,0,1,2,0,4,7,0,4,0,0,1,0,1,1,0,7,0,0,0,0,1,0,9,4,1,11,1,0,1,0,0,14
AK -- DILLINGHAM (County),0,0,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,3
AK -- FAIRBANKS NORTH STAR (County),139,102,111,156,230,363,337,294,182,1604,45,6,13,22,224,0,0,2,7,32,136,104,178,445,998,12,12,14,18,16,54,155,307,26,932,105,151,83,41,308,96,1115,395,29,1096,262,0,514,13,0,1914
AK -- HAINES (County),0,1,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,3,1,0,3,1,0,1,0,0,5
